CD4P - 10G
DATA test.txt: 100.0% 2836ms
DATA test.txt: 21.0% 16ms
DATA test.txt: 19.0% 10ms
DATA protein.txt: 99.97% 768265ms
DATA protein.txt: 99.97500000000001% 323930ms
DATA protein.txt: 99.98% 247435ms
DATA protein.txt: 99.985% 119740ms
DATA protein.txt: 99.99% 79790ms
DATA BIBLE.txt: 2.0% 144746ms
DATA BIBLE.txt: 4.0% 144607ms
DATA BIBLE.txt: 6.0% 150009ms
DATA BIBLE.txt: 8.0% 122913ms
DATA BIBLE.txt: 10.0% 135129ms
DATA FIFA.txt: 6.0% 226701ms
DATA FIFA.txt: 10.0% 65336ms
DATA FIFA.txt: 14.000000000000002% 79521ms
DATA FIFA.txt: 18.0% 32922ms
DATA FIFA.txt: 22.0% 28418ms
DATA Kosarak.txt: 0.2% 425082ms
DATA Kosarak.txt: 0.4% 314354ms
DATA Kosarak.txt: 0.6% 306541ms
DATA Kosarak.txt: 0.8% 393981ms
DATA Kosarak.txt: 1.0% 335551ms
DATA LEVIATHAN.txt: 2.0% 15975ms
DATA LEVIATHAN.txt: 4.0% 14149ms
DATA LEVIATHAN.txt: 6.0% 13868ms
DATA LEVIATHAN.txt: 8.0% 13831ms
DATA LEVIATHAN.txt: 10.0% 13621ms
DATA PubMed.txt: 1.0% 147522ms
DATA PubMed.txt: 2.0% 144235ms
DATA PubMed.txt: 3.0% 112481ms
DATA PubMed.txt: 4.0% 103303ms
DATA PubMed.txt: 5.0% 120882ms

SPARK - 10G - 1 THREAD
DATA test.txt: 100.0% 6667ms
DATA test.txt: 21.0% 2104ms
DATA test.txt: 19.0% 1687ms
DATA BIBLE.txt: 2.0% 74400ms
DATA BIBLE.txt: 4.0% 41309ms
DATA BIBLE.txt: 6.0% 27216ms
DATA BIBLE.txt: 8.0% 21614ms
DATA BIBLE.txt: 10.0% 18244ms
DATA FIFA.txt: 6.0% 11266373ms
DATA FIFA.txt: 10.0% 5270773ms
DATA FIFA.txt: 14.0% 3396916ms
DATA FIFA.txt: 18.0% 2812601ms
DATA FIFA.txt: 22.0% 1650616ms
DATA Kosarak.txt: 0.2% 108297ms
DATA Kosarak.txt: 0.4% 49781ms
DATA Kosarak.txt: 0.6% 38638ms
DATA Kosarak.txt: 0.8% 32163ms
DATA Kosarak.txt: 1.0% 25873ms
DATA LEVIATHAN.txt: 2.0% 100039ms
DATA LEVIATHAN.txt: 4.0% 51752ms
DATA LEVIATHAN.txt: 6.0% 34280ms
DATA LEVIATHAN.txt: 8.0% 25860ms
DATA LEVIATHAN.txt: 10.0% 22003ms
DATA PubMed.txt: 1.0% 238432ms
DATA PubMed.txt: 2.0% 102439ms
DATA PubMed.txt: 3.0% 69099ms
DATA PubMed.txt: 4.0% 50578ms
DATA PubMed.txt: 5.0% 46052ms

SPARK - 10G - 3 THREAD
DATA test.txt: 100.0% 3307ms
DATA test.txt: 21.0% 1154ms
DATA test.txt: 19.0% 951ms
DATA BIBLE.txt: 2.0% 33029ms
DATA BIBLE.txt: 4.0% 19431ms
DATA BIBLE.txt: 6.0% 13850ms
DATA BIBLE.txt: 8.0% 10194ms
DATA BIBLE.txt: 10.0% 8572ms
DATA FIFA.txt: 6.0% 6203094ms
DATA FIFA.txt: 10.0% 3078165ms
DATA FIFA.txt: 14.0% 1990103ms
DATA FIFA.txt: 18.0% 1474381ms
DATA FIFA.txt: 22.0% 871219ms
DATA Kosarak.txt: 0.2% 64971ms
DATA Kosarak.txt: 0.4% 29327ms
DATA Kosarak.txt: 0.6% 19752ms
DATA Kosarak.txt: 0.8% 14670ms
DATA Kosarak.txt: 1.0% 12034ms
DATA LEVIATHAN.txt: 2.0% 47725ms
DATA LEVIATHAN.txt: 4.0% 25198ms
DATA LEVIATHAN.txt: 6.0% 18331ms
DATA LEVIATHAN.txt: 8.0% 17092ms
DATA LEVIATHAN.txt: 10.0% 10316ms
DATA PubMed.txt: 1.0% 135144ms
DATA PubMed.txt: 2.0% 63451ms
DATA PubMed.txt: 3.0% 49058ms
DATA PubMed.txt: 4.0% 31638ms
DATA PubMed.txt: 5.0% 27555ms

